entities: 131  relations: 5  max_triples: 5
Epoch  89/300 | Total   0.2019 | CE   0.0297 | KL   0.4968
Epoch  90/300 | Total   0.2141 | CE   0.0318 | KL   0.4882
Epoch  91/300 | Total   0.2265 | CE   0.0343 | KL   0.4805
Epoch  92/300 | Total   0.2388 | CE   0.0368 | KL   0.4736
Epoch  93/300 | Total   0.2513 | CE   0.0393 | KL   0.4676
Epoch  94/300 | Total   0.2622 | CE   0.0419 | KL   0.4589
Epoch  95/300 | Total   0.2738 | CE   0.0446 | KL   0.4523
Epoch  96/300 | Total   0.2855 | CE   0.0472 | KL   0.4467
Epoch  97/300 | Total   0.2959 | CE   0.0493 | KL   0.4404
Epoch  98/300 | Total   0.3081 | CE   0.0522 | KL   0.4361
Epoch  99/300 | Total   0.3186 | CE   0.0552 | KL   0.4294
Epoch 100/300 | Total   0.3306 | CE   0.0583 | KL   0.4255
Epoch 101/300 | Total   0.3412 | CE   0.0614 | KL   0.4197
Epoch 102/300 | Total   0.3513 | CE   0.0644 | KL   0.4138
Epoch 103/300 | Total   0.3620 | CE   0.0675 | KL   0.4090
Epoch 104/300 | Total   0.3716 | CE   0.0703 | KL   0.4036
Epoch 105/300 | Total   0.3821 | CE   0.0734 | KL   0.3992
Epoch 106/300 | Total   0.3914 | CE   0.0765 | KL   0.3936
Epoch 107/300 | Total   0.4021 | CE   0.0794 | KL   0.3904
Epoch 108/300 | Total   0.4107 | CE   0.0828 | KL   0.3843
Epoch 109/300 | Total   0.4218 | CE   0.0866 | KL   0.3809
Epoch 110/300 | Total   0.4303 | CE   0.0896 | KL   0.3758
Epoch 111/300 | Total   0.4404 | CE   0.0933 | KL   0.3719
Epoch 112/300 | Total   0.4498 | CE   0.0972 | KL   0.3673
Epoch 113/300 | Total   0.4589 | CE   0.1010 | KL   0.3628
Epoch 114/300 | Total   0.4629 | CE   0.1034 | KL   0.3595
Epoch 115/300 | Total   0.4628 | CE   0.1031 | KL   0.3597
Epoch 116/300 | Total   0.4622 | CE   0.1030 | KL   0.3592
Epoch 117/300 | Total   0.4623 | CE   0.1027 | KL   0.3596
Epoch 118/300 | Total   0.4623 | CE   0.1031 | KL   0.3593
Epoch 119/300 | Total   0.4615 | CE   0.1028 | KL   0.3587
Epoch 120/300 | Total   0.4609 | CE   0.1023 | KL   0.3587
Epoch 121/300 | Total   0.4602 | CE   0.1020 | KL   0.3582
Epoch 122/300 | Total   0.4605 | CE   0.1023 | KL   0.3582
Epoch 123/300 | Total   0.4598 | CE   0.1018 | KL   0.3580
Epoch 124/300 | Total   0.4598 | CE   0.1019 | KL   0.3579
Epoch 125/300 | Total   0.4601 | CE   0.1017 | KL   0.3584
Epoch 126/300 | Total   0.4598 | CE   0.1015 | KL   0.3583
Epoch 127/300 | Total   0.4592 | CE   0.1017 | KL   0.3575
Epoch 128/300 | Total   0.4601 | CE   0.1020 | KL   0.3581
Epoch 129/300 | Total   0.4599 | CE   0.1019 | KL   0.3580
Epoch 130/300 | Total   0.4595 | CE   0.1016 | KL   0.3580
Epoch 131/300 | Total   0.4589 | CE   0.1011 | KL   0.3578
Epoch 132/300 | Total   0.4583 | CE   0.1000 | KL   0.3582
Epoch 133/300 | Total   0.4573 | CE   0.1003 | KL   0.3570
Epoch 134/300 | Total   0.4571 | CE   0.1002 | KL   0.3568
Epoch 135/300 | Total   0.4569 | CE   0.0995 | KL   0.3574
Epoch 136/300 | Total   0.4563 | CE   0.0994 | KL   0.3569
Epoch 137/300 | Total   0.4560 | CE   0.0990 | KL   0.3570
Epoch 138/300 | Total   0.4562 | CE   0.0991 | KL   0.3571
Epoch 139/300 | Total   0.4562 | CE   0.0992 | KL   0.3570
Epoch 140/300 | Total   0.4556 | CE   0.0983 | KL   0.3573
Epoch 141/300 | Total   0.4554 | CE   0.0983 | KL   0.3572
Epoch 142/300 | Total   0.4552 | CE   0.0982 | KL   0.3571
